product_id,name,category,step,step,product_type,suitable_skin_types,safe_for_sensitive,primary_target,secondary_target,key_actives,contains_retinol,contains_acid,contains_vaitamin_c,prescripition_only,recommended_time,max_frequency
P001,PanOxyl Acne Creamy Wash (Face & Body),Cleanser,Cleanse,1. Cleanse,Wash,Acne-prone,No,Acne treatment,Pore cleansing,Benzoyl Peroxide 4%,No,No,No,No,Both,1-2x daily
P002,PanOxyl Acne Foaming Wash,Cleanser,Cleanse,1. Cleanse,Wash,Acne-prone,No,Acne treatment,Deep cleanse,Benzoyl Peroxide 10%,No,No,No,No,Both,1-2x daily
P003,Palmer’s Cocoa Butter Formula Skin Therapy Oil,Oil,Treat/Moisturize,4. Moisturize,Oil,"Dry, scars",Yes,"Hydration, scars",Therapy,"Cocoa Butter, Vitamin E",No,No,No,No,Both,Daily
P004,Palmer’s Cocoa Butter Formula Moisturizing Body Oil,Oil,Moisturize,4. Moisturize,Oil,Dry,Yes,Hydration,Moisturizing,Cocoa Butter,No,No,No,No,Both,Daily
P005,Nineless B-Boost 1% Kojic Acid Toner,Toner,Tone,2. Tone/Exfoliate,Toner,All,Moderate,Brightening,Even tone,Kojic Acid 1%,No,Yes,No,No,Night,Daily
P006,Naturium The Smoother Glycolic Acid Body Wash,Body Wash,Cleanse/Exfoliate,1. Cleanse,Wash,All except sensitive,Moderate,"Smoothing, exfoliation",Texture,Glycolic Acid,No,Yes (AHA),No,No,Night,Daily
P007,Naturium The Glow Getter Multi-Oil Body Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,"Glow, hydration",Nourishing,Multi-oils,No,No,No,No,Both,Daily
P008,Alpha Skin Care Renewal Body Lotion,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Moderate,"Exfoliation, smoothing",Hydration,Glycolic Acid,No,Yes (AHA),No,No,Night,Daily
P009,Wonder Ceramide Mochi Toner,Toner,Tone,2. Tone/Exfoliate,Toner,"All, sensitive",Yes,Barrier repair,Hydration,Ceramides,No,No,No,No,Both,Daily
P010,Aqua Sun SPF50+ PA++++,Sunscreen,Protect,5. Protect,Sunscreen,All,Yes,Sun protection,Hydration,UV filters,No,No,No,No,Morning,Daily
P011,Neutrogena Hydro Boost Water Gel (Hyaluronic Acid + Amino Acids),Moisturizer,Moisturize,4. Moisturize,Gel,"All, dry",Yes,Hydration,Plumping,"Hyaluronic Acid, Amino Acids",No,No,No,No,Both,Daily
P012,FaceFacts Ceramide Oil Control Hydrating Toner,Toner,Tone,2. Tone/Exfoliate,Toner,Oily,Yes,"Oil control, hydration",Balance,Ceramides,No,No,No,No,Both,Daily
P013,Madagascar Centella Tone Brightening Boosting Toner,Toner,Tone,2. Tone/Exfoliate,Toner,All,Yes,Brightening,Soothing,"Centella, brighteners",No,No,No,No,Both,Daily
P014,Acwell Licorice pH Balancing Cleansing Toner 5.5,Toner,Tone,2. Tone/Exfoliate,Toner,"All, sensitive",Yes,"pH balance, soothing",Brightening,Licorice,No,No,No,No,Both,Daily
P015,The Ordinary Glycolic Acid 7% Exfoliating Toner,Toner,Tone/Exfoliate,2. Tone/Exfoliate,Toner,All except sensitive,No,"Exfoliation, brightness",Texture,Glycolic Acid 7%,No,Yes (AHA),No,No,Night,Daily (build from 3x/week)
P016,EOS Shea Better 24h Moisture Body Lotion Vanilla Cashmere,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,Hydration,Moisture lock,Shea Butter,No,No,No,No,Both,Daily
P017,EOS Shea Better 24h Moisture Body Lotion Pomegranate Raspberry,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,Hydration,Moisture lock,Shea Butter,No,No,No,No,Both,Daily
P018,Amlactin Daily Vitamin C Lotion 7% Lactic Acid,Body Lotion,Moisturize,4. Moisturize,Lotion,"All, especially dry",Yes,"Hydration, exfoliation",Brightening,"Lactic Acid 7%, Vitamin C",No,Yes (AHA),Yes,No,Both,Daily
P019,TIAI’I Alpha-5 Mela Care Cream,Moisturizer,Moisturize,4. Moisturize,Cream,Hyperpigmentation,Moderate,"Melasma, dark spots",Brightening,Alpha Arbutin or similar,No,No,No,No,Night,Daily
P020,COSRX Advanced Snail 92 All In One Cream,Moisturizer,Moisturize,4. Moisturize,Cream,"All, especially sensitive/dry",Yes,"Hydration, repair",Soothing,Snail Mucin 92%,No,No,No,No,Both,Daily
P021,Isntree Green Tea Fresh Emulsion,Moisturizer,Moisturize,4. Moisturize,Emulsion,"Oily, acne-prone",Yes,"Soothing, fresh",Oil control,Green Tea,No,No,No,No,Both,Daily
P022,Suncut UV Perfect Gel SPF50+ PA++++,Sunscreen,Protect,5. Protect,Gel,All,Yes,Sun protection,Perfect coverage,UV filters,No,No,No,No,Morning,Daily
P023,Advance Clinicals Vitamin C Brightening Serum,Serum,Treat,3. Treat,Serum,All,Yes,Brightening,Hydration,Vitamin C,No,No,Yes,No,Morning,Daily
P024,Advance Clinicals Vitamin C Anti-Aging Serum,Serum,Treat,3. Treat,Serum,All,Yes,Anti-aging,Brightening,Vitamin C,No,No,Yes,No,Morning,Daily
P025,Advance Clinicals Vitamin C Anti-Wrinkle Serum,Serum,Treat,3. Treat,Serum,All,Yes,Anti-wrinkle,Brightening,Vitamin C,No,No,Yes,No,Morning,Daily
P026,Olay Renewing Retinol Body Wash,Body Wash,Cleanse,1. Cleanse,Wash,All except sensitive,Moderate,Renewing,Anti-aging,Retinol,Yes,No,No,No,Night,Daily
P027,Olay Retinol 24 Body Lotion,Body Lotion,Moisturize,4. Moisturize,Lotion,All except sensitive,Moderate,Anti-aging,Hydration,Retinol,Yes,No,No,No,Night,Daily (build)
P028,Olay Hyaluronic Acid Body Lotion,Body Lotion,Moisturize,4. Moisturize,Lotion,Dry,Yes,Hydration,Plumping,Hyaluronic Acid,No,No,No,No,Both,Daily
P029,Olay Vitamin C Brightening Body Lotion,Body Lotion,Moisturize,4. Moisturize,Lotion,All,Yes,Brightening,Glow,Vitamin C,No,No,Yes,No,Morning,Daily
P030,Olay Tone Brightening Vitamin C Serum Complex Body Wash,Body Wash,Cleanse,1. Cleanse,Wash,All,Yes,Tone brightening,Cleansing,Vitamin C,No,No,Yes,No,Both,Daily
P031,Biore UV Aqua Rich Watery Essence SPF50+ PA++++,Sunscreen,Protect,5. Protect,Essence,All,Yes,Sun protection,Lightweight hydration,UV filters,No,No,No,No,Morning,Daily
P032,La Roche-Posay UVMune 400 SPF50+ Anti-Oxydant,Sunscreen,Protect,5. Protect,Fluid,"All, sensitive",Yes,"Sun protection, antioxidant",Anti-aging,"UV filters, antioxidants",No,No,No,No,Morning,Daily
P033,Aveeno Daily Moisturizing Body Oil Mist,Oil,Moisturize,4. Moisturize,Mist,Dry,Yes,Daily moisturizing,Nourishing,Oat oil,No,No,No,No,Both,Daily
P034,Nivea UV Super Water Gel SPF50 PA+++,Sunscreen,Protect,5. Protect,Gel,All,Yes,Sun protection,Lightweight,UV filters,No,No,No,No,Morning,Daily
P035,Dove Exfoliating Body Polish Crushed Almond & Mango Butter,Scrub,Exfoliate,6. Exfoliate (Physical),Polish,All,Yes,Exfoliation,Nourishing,"Almond, Mango Butter",No,No,No,No,Night,2-3x/week
P036,Dr Teal’s Shea Sugar Scrub Vitamin C,Scrub,Exfoliate,6. Exfoliate (Physical),Scrub,All,Yes,"Exfoliation, brightening",Glow,"Shea, Sugar, Vitamin C",No,No,Yes,No,Night,2-3x/week
